page_url,writer,date,title,content
https://www.ndtv.com/latest/page-4,Press Trust of India," Monday April 11, 2022                                                        
                                                        ",IPL 2022: Kane Williamson Stars As SunRisers Hyderabad Beat Gujarat Titans By Eight Wickets,IPL 2022: Kane Williamson scored 57 as SRH chased down 163 to defeat Gujarat Titans by eight wickets at Dr DY Patil Sports Academy on Monday.
https://www.ndtv.com/latest/page-4,Apoorva Sinha," Monday April 11, 2022                                                        
                                                        ","Xiaomi 12 Lite 5G Specifications Leaked, Could Feature Snapdragon 778G SoC",Xiaomi 12 Lite 5G is an upcoming smartphone whose specifications have leaked online. The phone will reportedly come with a Snapdragon 778G chipset and a 120Hz AMOLED display.
https://www.ndtv.com/latest/page-4,NDTVSports," Monday April 11, 2022                                                        
                                                        ","Sunrisers Hyderabad vs Gujarat Titans: IPL 2022 Live Cricket Score, Live Score Of Today's Match on NDTV Sports","Live Updates of Today Match between Sunrisers Hyderabad vs Gujarat Titans from Dr. DY Patil Sports Academy, Navi Mumbai. Check commentary and full scoreboard of the match."
https://www.ndtv.com/latest/page-4,NDTVSports," Monday April 11, 2022                                                        
                                                        ","Sunrisers Hyderabad vs Gujarat Titans: IPL 2022 Live Cricket Score, Live Score Of Today's Match on NDTV Sports","Live Updates of Today Match between Sunrisers Hyderabad vs Gujarat Titans from Dr. DY Patil Sports Academy, Navi Mumbai. Check commentary and full scoreboard of the match."
https://www.ndtv.com/latest/page-4,Arnab Mitra," Monday April 11, 2022                                                        
                                                        ","JNTU Anantapur Announces BTech, BPharm Semester 1 Results 2022; How To Check","JNTU Anantapur BTech/ BPharm Semester 1 Results 2022:  The candidates who had appeared in the BTech/ BPharm four-year examinations can check the results on the official website-  jntuaresults.ac.in, they can also download the marksheets from the official website"
https://www.ndtv.com/latest/page-4,Agence France-Presse," Monday April 11, 2022                                                        
                                                        ","Robber Threatened To Cut Ashley Cole's Fingers Off, Court Told","The court was told that among the items stolen from Ashley Cole during the break-in were cash, mobile phones and watches."
https://www.ndtv.com/latest/page-4,Shubham Bhatnagar," Monday April 11, 2022                                                        
                                                        ","Besides The Taj Mahal, There's Another Taj That Is A Wonder Itself","This Agra's star hotel is reason enough for a staycation closer home. And with the kind of luxury it offers, it is time to explore our neighbourhood with a fresh pair of eyes."
https://www.ndtv.com/latest/page-4,NDTVSports," Monday April 11, 2022                                                        
                                                        ","Sunrisers Hyderabad vs Gujarat Titans Live Score Ball by Ball, IPL 2022 Live Cricket Score Of Today's Match on NDTV Sports","Live Updates of Today Match between Sunrisers Hyderabad vs Gujarat Titans from Dr. DY Patil Sports Academy, Navi Mumbai. Check commentary and full scoreboard of the match."
https://www.ndtv.com/latest/page-4,Akhil Arora," Monday April 11, 2022                                                        
                                                        ",Two Thumbs Up: Netflix Adds Third Option to Thumbs Up and Down Rating System,"Netflix will now let you rate titles with Two Thumbs Up, a third option to its previously-binary rating system of Thumbs Up and Thumbs Down. Learn why Netflix is adding Two Thumbs Up, how it affects your recommendations, why the binary system has been ditched, and why there’s no Two Thumbs Down option — yet. Two Thumbs Up available on Netflix starting today on Android, iPhone, TV, and the Web."
https://www.ndtv.com/latest/page-5,NDTVSports," Monday April 11, 2022                                                        
                                                        ","Sunrisers Hyderabad vs Gujarat Titans Live Score Ball by Ball, IPL 2022 Live Cricket Score Of Today's Match on NDTV Sports","Live Updates of Today Match between Sunrisers Hyderabad vs Gujarat Titans from Dr. DY Patil Sports Academy, Navi Mumbai. Check commentary and full scoreboard of the match."
